text,emotion,processed_text
slide giáo trình đầy đủ .,positive,slide giáo trình đầy đủ
"nhiệt tình giảng dạy , gần gũi với sinh viên .",positive,nhiệt tình giảng dạy gần gũi sinh viên
đi học đầy đủ full điểm chuyên cần .,negative,đi học đầy đủ full điểm chuyên
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,negative,chưa áp dụng công nghệ thông tin các thiết bị hỗ trợ việc giảng dạy
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",positive,thầy giảng bài hay nhiều bài tập ví dụ ngay lớp
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",positive,giảng viên đảm bảo thời gian lên lớp tích cực trả lời câu hỏi sinh viên thường xuyên đặt câu hỏi sinh viên
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",neutral,nợ môn nhưng học lại các học kỳ kế tiếp
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",negative,thời lượng học dài đảm bảo tiếp thu hiệu quả
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",negative,nội dung môn học phần thiếu trọng tâm hầu như chung chung khái quát khiến sinh viên khó nắm nội dung môn học
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,negative,nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide
thầy rất tận tình và đi dạy rất đúng giờ .,positive,thầy tận tình đi dạy đúng giờ
dễ bị áp lực .,negative,dễ áp lực
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",neutral,dạy thầy wzjwz đi qua nước ngoài giữa chừng thầy wzjwz dạy thay
môn học còn dễ cần nâng độ khó lên nữa .,negative,môn học dễ nâng độ khó lên nữa
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",negative,có thể sinh viên đi thăm quan nhiều công ty xem quy mô cách làm việc để giúp hiểu rõ hơn vê ngành học
hài lòng về tất cả .,positive,hài lòng về tất cả
"nhiệt tình , vui vẻ .",positive,nhiệt tình vui vẻ
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,positive,thấy nhiệt tình việc trao đổi giúp đỡ về học tập
phong cách giảng bài của thầy rất gần gũi với sinh viên !,positive,phong cách giảng bài thầy gần gũi sinh viên
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,positive,giảng dạy kết hợp các hoạt động giải trí hiệu quả
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,negative,tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề chuyên ngành nhưng môn học
tiết học thoải mái .,positive,tiết học thoải mái
"thầy nhiệt tình , quan tâm tới sinh viên .",positive,thầy nhiệt tình quan tâm tới sinh viên
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",positive,giảng dạy nhiệt tình hướng dẫn chi tiết đến lúc sinh viên hiểu
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",negative,chưa nhiều tiết làm bài tập chữa bài tập lớp
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,positive,tài liệu bổ sung nhiều đầy đủ moodle
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,negative,giảng viên ví dụ cụ thể những phần quan trọng nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần tạo cảm giác chán sinh viên
nên biên soạn một tài liệu của chính trường ta .,negative,biên soạn một tài liệu chính trường ta
không giúp đỡ sinh viên trong những vấn đề xung quanh .,negative,giúp đỡ sinh viên những vấn đề xung quanh
"bài tập đa dạng , cụ thể .",positive,bài tập đa dạng cụ thể
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",negative,nội dung giảng viên yêu câu seminar hầu như tài liệu tham khảo ít ứng dụng thực tế đề nghị sự thay đổi những năm học tới
slide up đầy đủ trước mỗi buổi học .,positive,slide up đầy đủ mỗi buổi học
"nội dung giảng dạy quá nhàm chán , khô khan .",negative,nội dung giảng dạy nhàm chán khô khan
lượng kiến thức quá nhiều trong một học kỳ .,negative,lượng kiến thức nhiều một học kỳ
thầy chép bảng nhiều .,negative,thầy chép bảng nhiều
"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",positive,thầy tận tình hướng dẫn cách làm giải quyết những thắc mắc sinh viên
"chúc các thầy cô , anh chị làm việc vui vẻ !",positive,chúc các thầy cô anh chị làm việc vui vẻ
"hay , nhiệt tình , dễ hiểu .",positive,hay nhiệt tình dễ hiểu
"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",negative,mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu sử dụng ngôn gây khó khăn việc hiểu bài
"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",positive,thầy dạy khá hay cung cấp nhiều thông tin liên quan đến môn học đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn đồ án
hy vọng học kỳ sau có thể học được với cô .,positive,hy vọng học kỳ có thể học cô
nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,negative,nhiều khi lên lớp học môn đặc tả hình thức giống như lên lớp học mà biết học cái gì
trong khi giảng nói nhỏ quá .,negative,khi giảng nói nhỏ
thực hành khó hiểu .,negative,thực hành khó hiểu
"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",positive,thầy tận tâm nhiệt tình quan tâm đến sinh viên giảng bài dễ hiểu kiến thức sâu rộng am hiểu cao
"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",positive,cô dạy nhiệt huyết dù như thế nào cô vẫn luôn mỉm cười kiên trì giảng bài chúng em đến khi chúng em hiểu
"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",positive,cô lên lớp đúng giờ giảng bài dễ hiểu sinh viên
"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",negative,những thông tin cần thiết như doubledot thời gian dealine cách nộp bài thường dặn lớp thực hành thứ hai
"thầy nhiệt tình , dễ chịu .",positive,thầy nhiệt tình dễ chịu
"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",negative,giảng viên chưa đi sâu vào bản chất vấn đề chỉ học thôi mà biết bản chất nó gì nó ứng dụng gì sau này chuyên ngành
đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,positive,đặc biệt hơn thầy bỏ nhiều công sức việc ra bài tập chấm điểm một cách rõ ràng minh bạch
cô rất nhiệt tình và tận dụng tốt thời gian .,positive,cô nhiệt tình tận dụng tốt thời gian
"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",positive,giảng viên tận tâm nhiệt huyết giảng dạy
"thầy nhiệt tình , gần gũi .",positive,thầy nhiệt tình gần gũi
"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",positive,giảng viên tận tâm giảng dễ hiểu dễ tiếp thu
tạo ra sự cạnh tranh trong mỗi buổi thực hành .,neutral,tạo ra sự cạnh tranh mỗi buổi thực hành
bài tập và có code tham khảo .,positive,bài tập code tham khảo
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",negative,nâng cấp hệ thống wifi vì khi vào phòng thực hành sinh viên không thể truy cập internet buộc xin phép ra để làm bài
tài liệu không chi tiết lắm .,negative,tài liệu chi tiết
"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",positive,tận tâm nhiệt tình vui tính dễ gần sinh viên
thầy dạy rất hay và nhiệt tình .,positive,thầy dạy hay nhiệt tình
"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",negative,thầy dạy đúng giờ hướng dẫn sinh viên thực hành
giúp đỡ học sinh quá ít .,negative,giúp đỡ học sinh ít
cô dạy buồn ngủ quá .,negative,cô dạy buồn ngủ
nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,negative,kinh mong nội dung môn học giảm tải phù hợp hơn đặc thù một trường công nghệ thông tin
thầy tận tình vui tính .,positive,thầy tận tình vui tính
cô lại kiểu khó tính nữa .,negative,cô lại kiểu khó tính nữa
tạo hứng thú cho sinh viên .,positive,tạo hứng thú sinh viên
cô giảng hay cuốn hút và truyền đạt dễ hiểu .,positive,cô giảng hay cuốn hút truyền đạt dễ hiểu
có hứng thú học .,positive,hứng thú học
ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,neutral,ôn tập đúng theo thầy nhưng biết cuối kỳ mấy điểm
"giảng viên hướng dẫn cụ thể , chi tiết .",positive,giảng viên hướng dẫn cụ thể chi tiết
giáo trình quá ít và nội dung không khác nhau là mấy .,negative,giáo trình ít nội dung khác nhau mấy
"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",negative,giáo viên nghỉ dạy liên tục cuối học kỳ lại tăng học bù những tiết học bù ảnh hưởng đến những đồ án trễ deadline
"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",negative,giáo viên lúc dạy lúc dạy thông báo sinh viên tốn thời gian công sức tiền bạc rồi ngồi đợi đi về
"cần có một phòng máy tốt hơn , hiện đại hơn .",negative,một phòng máy tốt hơn hiện đại hơn
thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,negative,thầy làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm
"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",negative,ngờ môn lại chán đến như vậy học gì môn thầy dạy chán kinh khủng hay đi trễ phút nhiệt tình
